,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uri
75,Come In With The Rain (Taylor’s Version),0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929,237339,spotify:track:1n2wszmJyVkw6FHqyLnQsY
76,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,258813,spotify:track:01K4zKU104LyJ8gMb7227B
77,Wonderland,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,245560,spotify:track:6iWMI5oOhWrDbLbjmwTWFq
78,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,285107,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL
79,The Other Side Of The Door (Taylor’s Version),0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936,238444,spotify:track:1cSFlSBdpT4F5vb1frQ231
80,Haunted,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,242080,spotify:track:11UaQaEp2LvdspTyyuE3ur
81,You Are In Love,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,267107,spotify:track:4A2LfnduSTsE8u0ecYROxE
82,The Very First Night (Taylor's Version) (From The Vault),0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,200280,spotify:track:6pYNq0ZwpPVazKzsqpf0G8
83,Speak Now,0.709,0.599,7,-3.734,1,0.0304,0.095,0.0,0.0973,0.735,118.975,240760,spotify:track:1nYWTzy5zu3zEPNgB1sItW
84,Cornelia Street,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,spotify:track:12M5uqx0ZuwkpLp5rJim1a
85,Bye Bye Baby (Taylor’s Version) (From The Vault),0.624,0.624,5,-7.86,1,0.0539,0.334,0.0,0.0995,0.527,80.132,242158,spotify:track:4qUijfYU8EoIWiY6oSyrgT
86,champagne problems,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,spotify:track:0sY6ZUTh4yoctD8VIXz339
87,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,201107,spotify:track:15DeqWWQB4dcEWzJg15VrN
88,Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,spotify:track:1ZY1PqizIl78geGM4xWlEA
89,Stay Stay Stay,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-06,0.09,0.928,99.981,204827,spotify:track:1x0J8LFX23d5h1zzuzZorc
90,We Were Happy (Taylor’s Version) (From The Vault),0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007,244237,spotify:track:34V9RiEPe8MNdU32qJsJa1
91,Back To December,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027,spotify:track:3DrjZArsPsoqbLzUZZV1Id
92,gold rush,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,spotify:track:3Dby3p1m6IOZn2gIIqECgK
93,Love Story (Taylor’s Version),0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767,spotify:track:6YvqWjhGD8mB5QXcbcUKtx
94,Sparks Fly,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,260933,spotify:track:1q8E1FfFuhd12c5JcJwPxQ
95,mirrorball,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978,spotify:track:0ZNU020wNYvgW84iljPkPP
96,Breathe (feat. Colbie Caillat) (Taylor’s Version),0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,263377,spotify:track:7HC7R2D8WjXVcUHJyEGjRs
97,Shake It Off,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,219200,spotify:track:5xTtaWoae3wi06K5WfVUUH
98,White Horse (Taylor’s Version),0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262,234516,spotify:track:5YL553x8sHderRBDlm3NM3
99,Message In A Bottle (Taylor's Version) (From The Vault),0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,225960,spotify:track:3z6XUommYDWPHeFhmhhT6j
100,Tell Me Why (Taylor’s Version),0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023,200576,spotify:track:0k0vFacOHNuArLWMiH60p7
101,The Best Day (Taylor’s Version),0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0,245290,spotify:track:6ON9UuIq49xXY9GPmHIYRp
102,Afterglow,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,223293,spotify:track:1SymEzIT3H8UZfibCs3TYi
103,King Of My Heart,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,214320,spotify:track:7HuBDWi18s4aJM8UFnNheH
104,Ronan (Taylor's Version),0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04,264253,spotify:track:7nWui6jiMM2m9qFmET1Mtj
105,Treacherous,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-06,0.147,0.395,109.993,240773,spotify:track:0XfOV7qY3834QpFVwOb6CC
106,The Outside,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,207107,spotify:track:2QA3IixpRcKyOdG7XDzRgv
107,I Almost Do,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-05,0.182,0.233,145.865,242573,spotify:track:31pEV5lPJi7btskZoUr2yu
108,Dear John,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,403920,spotify:track:1ubvV5ECkm6nSI6g1HmbBK
